,command_name,command_id,pos_id,start_fr_id,end_fr_id
1442,when an event is about to start on my icalendar,1095,1,1.0,247.0
1443,when an event is about to start,1154,1,248.0,414.0
1444,when i receive a direct message on twitter,1081,1,415.0,636.0
1445,all imgflip meme templates,565,1,637.0,778.0
1446,music youtube channels,1043,1,779.0,900.0
1447,play the next song on spotify,70,2,1.0,180.0
1448,the space I have on dropbox,1041,2,181.0,350.0
1449,articles in the washington post in section opinions,1048,2,351.0,640.0
1450,file on github,410,2,641.0,745.0
1451,when I turn off the plug,1453,2,746.0,900.0
1452,add whatever's playing to my playlist,302,3,1.0,208.0
1453,when somebody messages me on twitter,1330,3,209.0,411.0
1454,posts on phd comics,845,3,412.0,529.0
1455,youtube 's film_and_entertainment channels,972,3,530.0,762.0
1456,send a message on slack,36,3,763.0,900.0
1457,my schedule on icalendar,473,4,1.0,133.0
1458,flip my switch off,176,4,134.0,236.0
1459,when the battery has finished charging,1308,4,237.0,439.0
1460,when my door closes,1181,4,440.0,547.0
1461,washington post 's politics blog,478,4,548.0,720.0
1462,the moment my switch changes to on,1068,4,721.0,903.0
1463,request an uber ,212,5,1.0,94.0
1464,the blog morning_mix of the washington post,437,5,95.0,323.0
1465,youtube channels with category paid,975,5,324.0,512.0
1466,close the shutters,100,5,513.0,616.0
1467,washington post 's the_fix blog,946,5,617.0,785.0
1468,songs in my playlist,916,5,786.0,899.0
1469,the arts section of the new york times,715,6,1.0,218.0
1470,when nothing is detected by my motion sensor,1146,6,219.0,466.0
1471,a random horse fact,573,6,467.0,589.0
1472,when the shades are put up,1263,6,590.0,747.0
1473,when nature issue updates,1141,6,748.0,900.0
1474,the blog politics of the washington post,852,7,1.0,205.0
1475,posts in the washington post world_views blog,990,7,206.0,435.0
1476,tweet something,227,7,436.0,515.0
1477,news on star wars,331,7,516.0,605.0
1478,tech youtube channels,834,7,606.0,715.0
1479,my favorite songs,821,7,716.0,805.0
1480,my calendar events,1051,7,806.0,900.0
1481,the science section of the new york times,885,8,1.0,218.0
1482,when no gas is detected,1196,8,219.0,346.0
1483,paid channels in youtube,853,8,347.0,479.0
1484,Wunderlist lists ,373,8,480.0,577.0
1485,once the state of the heat sensor changes,1406,8,578.0,795.0
1486,wall street journal,493,8,796.0,903.0
1487,the linguistic analysis of a sentence,430,9,1.0,197.0
1488,wall street journal articles in the world_news section,665,9,198.0,479.0
1489,order me a black caramel_macchiato,329,9,480.0,661.0
1490,when a meeting starts,1175,9,662.0,778.0
1491,new tips on lifehacker,642,9,779.0,900.0
