,command_name,command_id,pos_id,start_fr_id,end_fr_id
0,the new york times travel section,766,1,1.0,183.0
1,once there is a connection,1199,1,184.0,331.0
2,the positivity of this song,950,1,332.0,484.0
3,if the battery is topped up,1213,1,485.0,637.0
4,news on gamespot,460,1,638.0,735.0
5,phdcomics posts,346,1,736.0,828.0
6,when sunset,1379,1,829.0,901.0
7,channels in category cooking on youtube,597,2,1.0,211.0
8,when any of my rss feeds update,1404,2,212.0,382.0
9,my emails,800,2,383.0,443.0
10,help me turn off my fan,200,2,444.0,574.0
11,copy a picture to my onedrive,46,2,575.0,735.0
12,when my vacuum starts charging,1380,2,736.0,901.0
13,the power state of the light bulb,647,3,1.0,186.0
14,latest fortune news,524,3,187.0,302.0
15,raise the blinds,282,3,303.0,403.0
16,when the vacuum turns off,1165,3,404.0,549.0
17,random trump quote,595,3,550.0,660.0
18,dog fun facts,364,3,661.0,746.0
19,order me a iced white_mocha,133,3,747.0,902.0
20,when there is no one in the corridor,1416,4,1.0,199.0
21,the latest tweets,988,4,200.0,303.0
22,resume my spotify,21,4,304.0,407.0
23,images from Imgur User Submitted,1027,4,408.0,586.0
24,make a new linkedin post,298,4,587.0,725.0
25,alert me by flashing the lights,110,4,726.0,899.0
26,write to a new onedrive file,251,5,1.0,143.0
27,youtube 's best_of_youtube channels,793,5,144.0,321.0
28,a random factoid,464,5,322.0,404.0
29,the currently playing song,605,5,405.0,537.0
30,turn off the vacuum cleaner,252,5,538.0,675.0
31,open my shades for me,169,5,676.0,783.0
32,articles on how to geek,415,5,784.0,901.0
33,the bpm of the current song,841,6,1.0,144.0
34,order me a black latte,85,6,145.0,263.0
35,when the awnings are open,1172,6,264.0,397.0
36,write to a new file in onedrive,256,6,398.0,561.0
37,when the space is vacated,1118,6,562.0,695.0
38,when the sound sensor detects any sound,1352,6,696.0,899.0
39,when the vacuum is on,1090,7,1.0,117.0
40,upload a picture to tumblr,300,7,118.0,259.0
41,when a person is detected by my security camera,1219,7,260.0,506.0
42,animal trivia,955,7,507.0,583.0
43,turn on my vacuum,78,7,584.0,680.0
44,slack messages i received in the last hour,438,7,681.0,902.0
45,when there is an asteroid nearby,1314,8,1.0,164.0
46,when the shades get lowered,1335,8,165.0,303.0
47,lower the volume of my bluetooth speaker,203,8,304.0,507.0
48,turn off my switch,54,8,508.0,601.0
49,create google drive file,0,8,602.0,725.0
50,best_of_youtube channels in youtube,357,8,726.0,904.0
51,top stories on time magazine,787,9,1.0,157.0
52,create a folder in dropbox,290,9,158.0,304.0
53,when somebody unplugs my plug,1282,9,305.0,466.0
54,when the toilet gets occupied or becomes empty,1233,9,467.0,713.0
55,when something changes on onedrive,1271,9,714.0,900.0
