,command_name,command_id,pos_id,start_fr_id,end_fr_id
1615,set the power on my security camera to on,108,1,1.0,223.0
1616,articles in the washington post in section national,539,1,224.0,496.0
1617,donald trump's quote,753,1,497.0,614.0
1618,wall street journal articles in the technology section,799,1,615.0,902.0
1619,turn shuffle on,136,2,1.0,80.0
1620,if my fan is switched on or switched off,429,2,81.0,285.0
1621,my unimportant emails,594,2,286.0,395.0
1622,upload a picture to onedrive,248,2,396.0,540.0
1623,copy a picture to my onedrive,263,2,541.0,690.0
1624,posts in the washington post the_fix blog,1033,2,691.0,900.0
1625,help me turn off the switch,300,3,1.0,149.0
1626,animal trivia,490,3,150.0,228.0
1627,youtube 's causes channels,501,3,229.0,372.0
1628,whether the living room is occupied or empty,492,3,373.0,606.0
1629,turn on my security camera,128,3,607.0,750.0
1630,upload a picture to facebook,298,3,751.0,904.0
1631,add a picture to facebook,63,4,1.0,128.0
1632,youtube 's from_tv channels,359,4,129.0,266.0
1633,pause my vacuum,309,4,267.0,344.0
1634,if the gas sensor is detecting gas,1023,4,345.0,517.0
1635,how energetic is the current song,842,4,518.0,685.0
1636,the valence of this track,658,4,686.0,813.0
1637,turn off my lg tv,90,4,814.0,901.0
1638,if the fan is on or off,953,5,1.0,122.0
1639,film_and_entertainment channels in youtube,907,5,123.0,339.0
1640,a random useless fact,370,5,340.0,451.0
1641,sfw images from Imgur,509,5,452.0,563.0
1642,the new york times us section,733,5,564.0,715.0
1643,my top tracks,1045,5,716.0,787.0
1644,my instagram pictures,574,5,788.0,899.0
1645,articles in the new york times sports section,650,6,1.0,232.0
1646,some animated gif,826,6,233.0,324.0
1647,upload a picture to Imgur,7,6,325.0,456.0
1648,my posts on twitter,930,6,457.0,558.0
1649,request an uber ,264,6,559.0,645.0
1650,trump quotes,411,6,646.0,712.0
1651,Steam price,883,6,713.0,774.0
1652,play music on my speaker,122,6,775.0,901.0
1653,play an album,54,7,1.0,66.0
1654,the blog post_partisan of the washington post,381,7,67.0,292.0
1655,youtube 's comedy channels,334,7,293.0,423.0
1656,lifestyle washington post 's articles,665,7,424.0,609.0
1657,skip this song,34,7,610.0,680.0
1658,a random picture from giphy,1012,7,681.0,816.0
1659,images from Imgur,703,7,817.0,902.0
1660,close my shades,43,8,1.0,84.0
1661,a random piece of wisdom,419,8,85.0,213.0
1662,new lifehacker articles,738,8,214.0,337.0
1663,restore the volume on my lg tv,245,8,338.0,496.0
1664,cat fun facts,755,8,497.0,570.0
1665,switch on the switch,48,8,571.0,679.0
1666,send a picture via email,170,8,680.0,808.0
1667,Wunderlist lists ,781,8,809.0,902.0
1668,set my hvac to cool,294,9,1.0,104.0
1669,animation channels in youtube,873,9,105.0,258.0
1670,new playlist,45,9,259.0,327.0
1671,completed tasks from Wunderlist,945,9,328.0,491.0
1672,breaking news on fortune,734,9,492.0,620.0
1673,articles on how to geek,892,9,621.0,744.0
1674,what song is currently playing,806,9,745.0,903.0
