,command_name,command_id,pos_id,start_fr_id,end_fr_id
1505,shuffle my spotify,60,1,1.0,92.0
1506,get status of my current ride,363,1,93.0,239.0
1507,turn on my vacuum,233,1,240.0,326.0
1508,the new york times health section,353,1,327.0,493.0
1509,the world section of the new york times,522,1,494.0,690.0
1510,order me a black americano,17,1,691.0,822.0
1511,huffington posts,605,1,823.0,904.0
1512,create a file in google drive,135,2,1.0,166.0
1513,increase volume on my speaker,2,2,167.0,332.0
1514,youtube channels with category music,661,2,333.0,533.0
1515,channels in category gaming on youtube,938,2,534.0,744.0
1516,order me a black cappuccino,277,2,745.0,900.0
1517,articles on nature issue,1003,3,1.0,149.0
1518,washington post 's world_views blog,899,3,150.0,353.0
1519,washington post politics,956,3,354.0,502.0
1520,wall street journal,834,3,503.0,626.0
1521,start my vacuum,268,3,627.0,730.0
1522,youtube 's lifestyle channels,742,3,731.0,904.0
1523,my google drive files that changed most recently,531,4,1.0,263.0
1524,my recent instagram pictures,346,4,264.0,426.0
1525,whether my vacuum getting charged,373,4,427.0,614.0
1526,get the temperature of my Tesla car,556,4,615.0,812.0
1527,a random fact,846,4,813.0,900.0
1528,set me as away on slack,140,5,1.0,117.0
1529,mac rumors,764,5,118.0,169.0
1530,a random xkcd comic,901,5,170.0,266.0
1531,the temperature on my thermostat,860,5,267.0,428.0
1532,the new york times business section,872,5,429.0,605.0
1533,ask my vacuum to wait,239,5,606.0,712.0
1534,open the shutters,224,5,713.0,799.0
1535,cnn news top stories,365,5,800.0,901.0
1536,the instrumentalness of the current song,767,6,1.0,212.0
1537,a picture from mars,579,6,213.0,319.0
1538,wsj world_news articles,629,6,320.0,446.0
1539,whether the curtains is raised or lowered,387,6,447.0,663.0
1540,the last event detected by my security camera,1011,6,664.0,900.0
1541,stop the vacuum cleaner,32,7,1.0,127.0
1542,if I raised the shades,996,7,128.0,249.0
1543,lifestyle youtube channels,789,7,250.0,391.0
1544,a giphy picture,803,7,392.0,478.0
1545,oscillate my fan,313,7,479.0,570.0
1546,close my shutters,75,7,571.0,667.0
1547,latest mashable news,631,7,668.0,779.0
1548,order me a white_mocha,86,7,780.0,901.0
1549,shut down my security camera,162,8,1.0,145.0
1550,the key of the current song,640,8,146.0,285.0
1551,charge the vacuum,304,8,286.0,375.0
1552,my contacts on google,636,8,376.0,485.0
1553,wsj markets articles,364,8,486.0,590.0
1554,youtube channels with category sports,639,8,591.0,780.0
1555,top stories on bbc news,707,8,781.0,900.0
1556,Is my tesla car plugged in? ,379,9,1.0,145.0
1557,washington post 's post_everything blog,338,9,146.0,345.0
1558,make the fan turn,151,9,346.0,435.0
1559,off the switch,200,9,436.0,510.0
1560,set the power on my lg tv to off,98,9,511.0,675.0
1561,keep my curtains,274,9,676.0,760.0
1562,lower the volume of my lg tv,215,9,761.0,905.0
