,command_name,command_id,pos_id,start_fr_id,end_fr_id
1563,youtube channels with category tech,396,1,1.0,179.0
1564,a picture from curiosity rover,540,1,180.0,333.0
1565,use spotify to play some music,169,1,334.0,487.0
1566,a random snail fact,822,1,488.0,586.0
1567,phd comics,465,1,587.0,640.0
1568,the blog capital_weather_gang of the washington post,817,1,641.0,904.0
1569,latest nba news,791,2,1.0,94.0
1570,washington post national,380,2,95.0,233.0
1571,search on bing,667,2,234.0,322.0
1572,update my linkedin,327,2,323.0,431.0
1573,articles in the washington post in section sports,538,2,432.0,695.0
1574,play something on my bluetooth speaker,211,2,696.0,904.0
1575,posts in the washington post post_everything blog,925,3,1.0,263.0
1576,an interesting factoid about horse,783,3,264.0,451.0
1577,omlet messages i received,824,3,452.0,594.0
1578,log my weight on fitbit,299,3,595.0,727.0
1579,order me a espresso,275,3,728.0,840.0
1580,my emails,1048,3,841.0,903.0
1581,youtube channels with category lifestyle,900,4,1.0,220.0
1582,tweets in my timeline,740,4,221.0,345.0
1583,Steam ID,1027,4,346.0,405.0
1584,information on wikicfp,800,4,406.0,535.0
1585,whether my awnings are open or closed,717,4,536.0,740.0
1586,the speechiness of this song,409,4,741.0,900.0
1587,the new york times travel section,393,5,1.0,214.0
1588,washington post opinions,427,5,215.0,383.0
1589,automotive youtube channels,1038,5,384.0,567.0
1590,if my window is open or closed,333,5,568.0,766.0
1591,the latest tweets,1035,5,767.0,900.0
1592,my google drive files in reverse alphabetical order,614,6,1.0,269.0
1593,is my Tesla remotely accessible? ,700,6,270.0,448.0
1594,best_of_youtube channels in youtube,587,6,449.0,637.0
1595,whether the sound sensor is detecting sound or not,723,6,638.0,901.0
1596,news on slashdot,572,7,1.0,87.0
1597,if my curtains are open or closed,600,7,88.0,259.0
1598,imgur usersub viral,517,7,260.0,361.0
1599,the blog fact_checker of the washington post,1020,7,362.0,588.0
1600,channels in category music on youtube,683,7,589.0,780.0
1601,open my shutters for me,227,7,781.0,902.0
1602,imgur usersub rising,929,8,1.0,109.0
1603,the blog morning_mix of the washington post,366,8,110.0,333.0
1604,set my bluetooth speaker as default,244,8,334.0,517.0
1605,gamespot news,966,8,518.0,591.0
1606,today's asteroid info,1006,8,592.0,705.0
1607,news_and_politics channels in youtube,768,8,706.0,899.0
1608,the fitbit step counter,395,9,1.0,123.0
1609,halt my oscillating fan,111,9,124.0,246.0
1610,make a new linkedin post,266,9,247.0,374.0
1611,channels in category cooking on youtube,1016,9,375.0,577.0
1612,articles in the new york times,692,9,578.0,735.0
1613,off the vacuum,138,9,736.0,813.0
1614,a random factoid,339,9,814.0,901.0
