,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
1850,skip to fifty seconds,1057,1,1.0,132.0,21
1851,play the playlist Favourite songs,1,1,133.0,324.0,33
1852,add to playlist Sad songs,1245,1,325.0,476.0,25
1853,set my bluetooth speaker to eighty percents,35,1,477.0,683.0,36
1854,channels I am subscribed to on youtube,984,1,684.0,900.0,38
1855,interesting facts about the number seven,217,2,1.0,218.0,40
1856,lower the volume of my bluetooth speaker,325,2,219.0,436.0,40
1857,new books published by stanford press,884,2,437.0,639.0,37
1858,posts in the washington post post everything blog,242,2,640.0,902.0,49
1859,wired top stories,648,3,1.0,113.0,17
1860,stop my kitchen fan from oscillating,690,3,114.0,321.0,36
1861,my doc files in google drive,180,3,322.0,489.0,28
1862,the BPM of song Rolling in the deep,186,3,490.0,692.0,35
1863,turn on my switch,736,3,693.0,805.0,17
1864,a random quote,305,3,806.0,903.0,14
1865,wall street journal articles in the lifestyle section,132,4,1.0,276.0,53
1866,popular science news,151,4,277.0,387.0,20
1867,business insider news,440,4,388.0,503.0,21
1868,articles in the new york times technology section,1126,4,504.0,759.0,49
1869,comedy channels in youtube,211,4,760.0,900.0,26
1870,add a new playlist,260,5,1.0,95.0,18
1871,turn on repeat,991,5,96.0,170.0,14
1872,stop the fan from turning,828,5,171.0,300.0,25
1873,open my blinds for me,282,5,301.0,410.0,21
1874,trivia about seven,500,5,411.0,505.0,18
1875,articles in the new york times health section,554,5,506.0,735.0,45
1876,open my entrance curtains for me,1021,5,736.0,900.0,32
1877,upload a mature picture to Imgure,927,6,1.0,189.0,33
1878,the tempo of song Jingle Bells,702,6,190.0,363.0,30
1879,the liveness of the current song,953,6,364.0,547.0,32
1880,order me a black white mocha,642,6,548.0,711.0,28
1881,stop the kitchen fan from turning,603,6,712.0,900.0,33
1882,channels in category tech on youtube,1059,7,1.0,189.0,36
1883,play the artist Frank Sinatra,458,7,190.0,343.0,29
1884,my unimportant emails,666,7,344.0,457.0,21
1885,my onedrive files that were created most recently,1192,7,458.0,711.0,49
1886,help me turn off the entrance switch,7,7,712.0,900.0,36
1887,the Imgur front page,1123,8,1.0,107.0,20
1888,channels in category sports on youtube,848,8,108.0,304.0,38
1889,post on twitter,670,8,305.0,386.0,15
1890,completed tasks from To do list on Wunderlist,863,8,387.0,618.0,45
1891,create a new text file in onedrive,1078,8,619.0,795.0,34
1892,order me a macchiato,434,8,796.0,902.0,20
1893,turn my fan,417,9,1.0,98.0,11
1894,flash the lights,366,9,99.0,221.0,16
1895,posts in the washington post the plum line blog,1162,9,222.0,499.0,47
1896,put the blinds down,1035,9,500.0,637.0,19
1897,posts in the washington post right turn blog,893,9,638.0,900.0,44
