,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
0,tasks from Homework list from the last ten days from Wunderlist,258,1,1.0,372.0,68
1,describe a picture,370,1,373.0,494.0,18
2,put the curtains down,307,1,495.0,631.0,21
3,the key of Jingle Bells,564,1,632.0,778.0,23
4,update my linkedin,172,1,779.0,900.0,18
5,add Despacito to my playlist Favourite songs,761,2,1.0,226.0,45
6,images from Imgur User Submitted viral,450,2,227.0,417.0,38
7,channels in category sports on youtube,848,2,418.0,608.0,38
8,a random factoid,455,2,609.0,689.0,16
9,my contacts,445,2,690.0,745.0,11
10,make the vacuum stop,131,2,746.0,846.0,20
11,the weather,755,2,847.0,902.0,11
12,animal fun facts,1111,3,1.0,100.0,16
13,latest posts in all my RSS subscriptions,463,3,101.0,320.0,40
14,change the minimum and maximum temperatures on my thermostat,225,3,321.0,640.0,60
15,completed tasks from Homework list on Wunderlist,973,3,641.0,900.0,48
16,add Jingle Bells to Sad songs on Spotify,786,4,1.0,202.0,40
17,put the blinds up,743,4,203.0,289.0,17
18,washington post's the plum line blog,233,4,290.0,476.0,37
19,add Rolling in the deep to my playlist Sad songs,625,4,477.0,723.0,49
20,set my bluetooth speaker as default,247,4,724.0,900.0,35
21,facts about three,418,5,1.0,99.0,17
22,set my bluetooth speaker to zero percent,27,5,100.0,283.0,34
23,top stories on CNN news,1272,5,284.0,412.0,23
24,post on slack,638,5,413.0,491.0,13
25,the BPM of Despacito,226,5,492.0,605.0,20
26,raise the curtains,781,5,606.0,709.0,18
27,turn on my dining room switch for me,1052,5,710.0,903.0,36
28,set my thermostat to twenty five degrees,369,6,1.0,209.0,40
29,color loop the kitchen lights,162,6,210.0,363.0,29
30,washington post lifestyle,214,6,364.0,497.0,25
31,lower the volume of my bluetooth speaker,325,6,498.0,706.0,40
32,the acousticness of the current track,147,6,707.0,900.0,37
33,youtube channels with category animation,686,7,1.0,201.0,40
34,lower the entrance curtains,288,7,202.0,337.0,27
35,songs in my playlist Sad songs,133,7,338.0,488.0,30
36,tasks from the last seven days from Wunderlist,350,7,489.0,744.0,51
37,make the entrance fan oscillate,80,7,745.0,900.0,31
38,set my thermostat to twenty three degrees,1108,8,1.0,348.0,41
39,top stories on wired news,1136,8,349.0,616.0,25
40,the speechiness of this song,238,8,617.0,899.0,28
41,set the low temperature to eighteen degrees on my thermostat and the high to twenty degrees,259,9,1.0,470.0,91
42,add song Jingle Bells to Favourite songs,655,9,471.0,685.0,40
43,dog pictures,854,9,686.0,760.0,12
44,the tempo of Jingle Bells,737,9,761.0,900.0,25
