,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
1527,washington post world,1196,1,1.0,136.0,21
1528,post a picture on tumblr,658,1,137.0,287.0,24
1529,my google drive files of type JPG,149,1,288.0,483.0,33
1530,important emails,108,1,484.0,594.0,16
1531,turn off my light bulb,178,1,595.0,735.0,22
1532,cooking channels in youtube,281,1,736.0,901.0,27
1533,add the album Abbey Road to my playlist,1169,2,1.0,221.0,39
1534,my onedrive files created this week,353,2,222.0,422.0,35
1535,call uber,693,2,423.0,493.0,9
1536,the loudness of the current track,911,2,494.0,684.0,33
1537,beauty and fashion channels in youtube,144,2,685.0,900.0,38
1538,the step count from fitbit,937,3,1.0,171.0,26
1539,add Jingle Bells to Favourite songs on Spotify,1037,3,172.0,442.0,46
1540,a random dog fact,882,3,443.0,568.0,17
1541,play the next song,498,3,569.0,699.0,18
1542,set the power on my LG tv to off,315,3,700.0,900.0,32
1543,the blog capital weather gang of the washington post,1204,4,1.0,279.0,52
1544,set my bluetooth speaker to hundred percents,196,4,280.0,483.0,37
1545,wall street journal world news,975,4,484.0,652.0,30
1546,add the album Meteora to my playlist Sad songs,1050,4,653.0,901.0,46
1547,the new york times health section,301,5,1.0,175.0,33
1548,add Rolling in the deep to Dance mood on Spotify,1240,5,176.0,425.0,48
1549,the speechiness of Jingle Bells,782,5,426.0,590.0,31
1550,all my RSS feeds,333,5,591.0,680.0,16
1551,unmute my LG webos tv,1218,5,681.0,795.0,21
1552,the weather outside,45,5,796.0,900.0,19
1553,a picture of a random dog,507,6,1.0,137.0,25
1554,what happened in the year twenty nineteen,41,6,138.0,354.0,41
1555,set temperature on my thermostat to twenty three degrees,562,6,355.0,646.0,56
1556,turn on repeat,991,6,647.0,728.0,14
1557,my body measurements from fitbit,504,6,729.0,900.0,32
1558,youtube's science channels,1161,7,1.0,156.0,27
1559,set my thermostat to twenty five degrees,369,7,157.0,377.0,40
1560,the instrumentalness of song Jingle Bells,1211,7,378.0,603.0,41
1561,a random picture from giphy,2,7,604.0,759.0,27
1562,science youtube channels,525,7,760.0,900.0,24
1563,how energetic is the current song,1179,8,1.0,180.0,33
1564,my dropbox files that changed most recently,25,8,181.0,410.0,43
1565,go to ten seconds,278,8,411.0,510.0,17
1566,comedy channels in youtube,211,8,511.0,655.0,26
1567,halt my oscillating fan,1105,8,656.0,785.0,23
1568,move the kitchen fan,646,8,786.0,900.0,20
1569,images from Imgur User Submitted viral,450,9,1.0,211.0,38
1570,the loudness of the current song,153,9,212.0,392.0,32
1571,youtube channels with category recommended,479,9,393.0,623.0,42
1572,play Frank Sinatra,1054,9,624.0,734.0,18
1573,color loop the kitchen lights,162,9,735.0,900.0,29
