,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
1130,add song Rolling in the deep to Dance mood,235,1,1.0,215.0,42
1131,the valence of this track,292,1,216.0,345.0,25
1132,add the album Abbey Road to my playlist Favourite songs,10,1,346.0,625.0,55
1133,add song Despacito to Favourite songs,190,1,626.0,815.0,37
1134,repeat this song,1148,1,816.0,900.0,16
1135,my onedrive files in reverse alphabetical order,1286,2,1.0,283.0,47
1136,change my slack presence,447,2,284.0,451.0,24
1137,add this song to playlist Sad songs,580,2,452.0,674.0,35
1138,channels in category tech on youtube,1059,2,675.0,902.0,36
1139,add song Rolling in the deep to Favourite songs,1022,3,1.0,240.0,47
1140,latest papers in category Physics on arxiv,1088,3,241.0,455.0,42
1141,add the album Parachutes to my playlist Favourite songs,731,3,456.0,735.0,55
1142,play my playlist Favourite songs,1290,3,736.0,900.0,32
1143,omlet messages i received,747,4,1.0,134.0,25
1144,put the entrance shades down,152,4,135.0,283.0,28
1145,turn off my LG webos tv,1217,4,284.0,407.0,23
1146,write to a new onedrive file,1175,4,408.0,556.0,28
1147,translate to Spanish,546,4,557.0,665.0,20
1148,posts in the washington post morning mix blog,1291,4,666.0,899.0,45
1149,wall street journal world news,975,5,1.0,159.0,30
1150,add Despacito to Dance mood,8,5,160.0,303.0,27
1151,play Frank Sinatra,1054,5,304.0,402.0,18
1152,add this to my playlist Favourite songs,239,5,403.0,606.0,39
1153,new york times,768,5,607.0,685.0,14
1154,business insider news,440,5,686.0,799.0,21
1155,my twitter messages,367,5,800.0,903.0,19
1156,oscillate my entrance fan,711,6,1.0,138.0,25
1157,youtube channels with category news and politics,1030,6,139.0,391.0,48
1158,the valence of this song,940,6,392.0,524.0,24
1159,new newest onedrive files,488,6,525.0,662.0,25
1160,open the shutters,1016,6,663.0,760.0,17
1161,make the kitchen fan swing,50,6,761.0,903.0,26
1162,BBC news top stories,947,7,1.0,105.0,20
1163,set me as not away on slack,630,7,106.0,245.0,27
1164,a trump quote,76,7,246.0,315.0,13
1165,order me a black cappuccino,497,7,316.0,455.0,27
1166,turn off my Tesla car air-conditioner,870,7,456.0,645.0,37
1167,the time signature of song Despacito,840,7,646.0,830.0,36
1168,puppy pictures,907,7,831.0,905.0,14
1169,open my blinds,611,8,1.0,100.0,14
1170,is Jingle Bells instrumental,1285,8,101.0,270.0,28
1171,order me a black mocha,1070,8,271.0,410.0,22
1172,turn off the fan,595,8,411.0,520.0,16
1173,film and entertainment channels in youtube,306,8,521.0,760.0,42
1174,news on NBA basketball,355,8,761.0,900.0,22
1175,my instagrams that use filter Normal,715,9,1.0,197.0,36
1176,flip my entrance switch off,769,9,198.0,349.0,27
1177,the valence of Rolling in the deep,626,9,350.0,536.0,34
1178,my emails on gmail,649,9,537.0,643.0,18
1179,articles in the washington post in section local,777,9,644.0,900.0,48
