,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
388,posts in the washington post compost blog,1076,1,1.0,214.0,41
389,order me an iced espresso,620,1,215.0,343.0,24
390,my three latest instagram pictures,111,1,344.0,522.0,34
391,start disco lights,318,1,523.0,621.0,18
392,order uber,345,1,622.0,680.0,10
393,stop my fan from oscillating,1243,1,681.0,829.0,28
394,mozilla blogs,800,1,830.0,903.0,13
395,a word from the dictionary,1073,2,1.0,132.0,26
396,tasks from Homework list from the last seven days from Wunderlist,888,2,133.0,484.0,70
397,posts on facebook,485,2,485.0,571.0,17
398,turn off my kitchen switch,175,2,572.0,703.0,26
399,decrease the volume of my LG tv,1174,2,704.0,860.0,31
400,NBA news,1092,2,861.0,902.0,8
401,causes channels in youtube,816,3,1.0,145.0,26
402,add this song to playlist Dance mood,691,3,146.0,340.0,36
403,the speechiness of song Jingle Bells,675,3,341.0,535.0,36
404,increase volume on my speaker,92,3,536.0,695.0,29
405,the instrumentalness of song Despacito,428,3,696.0,900.0,38
406,increase the volume on my bluetooth speaker,938,4,1.0,217.0,43
407,BBC news top stories,947,4,218.0,319.0,20
408,articles in the new york times,39,4,320.0,471.0,30
409,articles on howtogeek,1189,4,472.0,578.0,21
410,channels in category from tv on youtube,106,4,579.0,775.0,39
411,stop the fan from turning,828,4,776.0,902.0,25
412,a giphy picture,545,5,1.0,83.0,15
413,add to playlist Sad songs,1245,5,84.0,216.0,25
414,my recent tweets,832,5,217.0,304.0,16
415,images from Imgur usersub with more than thousand points,1185,5,305.0,592.0,56
416,add Jingle Bells to my playlist,1203,5,593.0,755.0,31
417,the BPM of the current track,257,5,756.0,903.0,28
418,add song Jingle Bells to my playlist Sad songs,407,6,1.0,242.0,46
419,youtube's lifestyle channels,184,6,243.0,399.0,29
420,switch on the vacuum,903,6,400.0,511.0,20
421,latest NBA news,850,6,512.0,598.0,15
422,latest news by ars technica,550,6,599.0,745.0,27
423,front page of huffington post,441,6,746.0,902.0,29
424,help me open the window,1004,7,1.0,124.0,23
425,how positive is Jingle Bells,413,7,125.0,273.0,28
426,create a new playlist,142,7,274.0,387.0,21
427,mute my LG tv,680,7,388.0,461.0,13
428,put the entrance damper up,70,7,462.0,600.0,26
429,when a new paper is published in category Physics on arxiv,71,7,601.0,899.0,58
430,the blog capital weather gang of the washington post,1204,8,1.0,299.0,52
431,get info on people I know,1234,8,300.0,463.0,25
432,turn the dining room switch on,614,8,464.0,652.0,30
433,youtube channels with category recommended,479,8,653.0,901.0,42
434,instagram pictures on my account,606,9,1.0,215.0,32
435,set volume on my speaker to zero percent,1119,9,216.0,440.0,34
436,make the awnings extend,1138,9,441.0,610.0,23
437,channels in category best of youtube on youtube,581,9,611.0,900.0,47
