,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
1599,the blog wonkblog of the washington post,1056,1,1.0,229.0,40
1600,a fact about snail,375,1,230.0,348.0,18
1601,post a picture on facebook,101,1,349.0,507.0,26
1602,photos in album Family on facebook,962,1,508.0,706.0,34
1603,how dancey is Rolling in the deep,1121,1,707.0,900.0,33
1604,completed tasks from To do list from the last three days on Wunderlist,993,2,1.0,394.0,75
1605,posts in the washington post post partisan blog,1009,2,395.0,648.0,47
1606,new nature articles,942,2,649.0,762.0,19
1607,paid channels in youtube,1101,2,763.0,901.0,24
1608,upload a picture to tumblr,1294,3,1.0,141.0,26
1609,open my shutters for me,908,3,142.0,267.0,23
1610,off the switch,804,3,268.0,348.0,14
1611,add Jingle Bells to Sad songs,825,3,349.0,504.0,29
1612,my google drive files created this week,678,3,505.0,710.0,39
1613,set volume on my speaker to eighty percents,20,3,711.0,901.0,36
1614,post on slack,638,4,1.0,77.0,13
1615,completed tasks from the last ten days on Wunderlist,128,4,78.0,349.0,52
1616,close my blinds,436,4,350.0,436.0,15
1617,ask my vacuum to wait,1252,4,437.0,553.0,21
1618,a picture of a fox,283,4,554.0,655.0,18
1619,my google drive files smaller than one gigabyte,362,4,656.0,902.0,47
1620,images from Imgur usersub with more than five hundred points,1205,5,1.0,322.0,60
1621,ten dog pictures,985,5,323.0,424.0,16
1622,file on github,28,5,425.0,516.0,14
1623,all my RSS feeds,333,5,517.0,618.0,16
1624,can you switch on my kitchen fan,728,5,619.0,800.0,32
1625,honk my car horn,511,5,801.0,902.0,16
1626,shut down the kitchen lights,1017,6,1.0,157.0,28
1627,the tempo of song Jingle Bells,702,6,158.0,324.0,30
1628,is Rolling in the deep instrumental,44,6,325.0,516.0,35
1629,turn off the vacuum cleaner,990,6,517.0,668.0,27
1630,add Despacito to Favourite songs on Spotify,1031,6,669.0,900.0,43
1631,youtube channels with category sports,563,7,1.0,214.0,37
1632,all meme templates,902,7,215.0,333.0,18
1633,halt my oscillating entrance fan,530,7,334.0,522.0,32
1634,posts in the washington post powerpost blog,889,7,523.0,766.0,43
1635,SFW images from Imgur,16,7,767.0,900.0,21
1636,how loud is Rolling in the deep,339,8,1.0,157.0,31
1637,the energy of Rolling in the deep,944,8,158.0,324.0,33
1638,order me a black mocha,1070,8,325.0,436.0,22
1639,posts on phdcomics,123,8,437.0,528.0,18
1640,translate to English,87,8,529.0,630.0,20
1641,post a message on slack,1032,8,631.0,747.0,23
1642,upload a NSFW picture to Imgur,598,8,748.0,899.0,30
1643,youtube channels with category beauty and fashion,136,9,1.0,249.0,49
1644,switch on the switch,1062,9,250.0,353.0,20
1645,halt my oscillating bedroom fan,919,9,354.0,512.0,31
1646,from tv channels in youtube,931,9,513.0,651.0,27
1647,add song Jingle Bells to Dance mood,267,9,652.0,830.0,35
1648,news from ABC,372,9,831.0,899.0,13
