,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
2321,skip to ten seconds,1065,1,1.0,113.0,19
2322,washington post business,398,1,114.0,251.0,24
2323,pull the entrance curtains open,129,1,252.0,424.0,31
2324,articles on popular science,555,1,425.0,577.0,27
2325,open the awning,1049,1,578.0,670.0,15
2326,the weather outside,45,1,671.0,783.0,19
2327,a random trump quote,634,1,784.0,901.0,20
2328,film and entertainment channels in youtube,306,2,1.0,348.0,42
2329,my dropbox files in alphabetical order,423,2,349.0,676.0,38
2330,posts on facebook,485,2,677.0,899.0,17
2331,set the temperature between eighteen degrees and twenty five degrees on my thermostat,838,3,1.0,450.0,85
2332,start disco lights for my kitchen lights,579,3,451.0,675.0,40
2333,youtube channels with category lifestyle,774,3,676.0,900.0,40
2334,news on huffpost,677,4,1.0,97.0,16
2335,a random cat fact,54,4,98.0,199.0,17
2336,my twitter messages,367,4,200.0,311.0,19
2337,youtube channels with category news and politics,1030,4,312.0,568.0,48
2338,the world section of the new york times,365,4,569.0,780.0,39
2339,open my awning for me,174,4,781.0,902.0,21
2340,washington post world,1196,5,1.0,108.0,21
2341,play the song Jingle Bells on Spotify,185,5,109.0,296.0,37
2342,lower the volume of my LG tv,573,5,297.0,439.0,28
2343,set the temperature of my Tesla car to twenty five degrees,392,5,440.0,732.0,58
2344,how energetic is the current song,1179,5,733.0,900.0,33
2345,turn off my switch,779,6,1.0,104.0,18
2346,my google drive files in alphabetical order,1023,6,105.0,333.0,43
2347,resume my Spotify,19,6,334.0,432.0,17
2348,make a new post on facebook,359,6,433.0,581.0,27
2349,the BPM of Rolling in the deep,1216,6,582.0,745.0,30
2350,put the entrance blinds down,582,6,746.0,899.0,28
2351,set the temperature to twenty five degrees on my thermostat,157,7,1.0,298.0,59
2352,youtube's film and entertainment channels,489,7,299.0,511.0,42
2353,add the album Parachutes to my playlist Favourite songs,731,7,512.0,789.0,55
2354,math facts about seven,541,7,790.0,902.0,22
2355,the new york times world section,918,8,1.0,176.0,32
2356,phdcomics posts,1180,8,177.0,267.0,15
2357,my google drive files larger than one gigabyte,708,8,268.0,513.0,46
2358,the acousticness of Despacito,1265,8,514.0,674.0,29
2359,the blog right turn of the washington post,18,8,675.0,900.0,42
2360,flash the Tesla car,140,9,1.0,103.0,19
2361,add this song to my playlist,876,9,104.0,251.0,28
2362,wall street journal lifestyle,679,9,252.0,404.0,29
2363,new lifehacker articles,363,9,405.0,527.0,23
2364,loop the color of the light bulb,192,9,528.0,695.0,32
2365,the blog wonkblog of the washington post,1056,9,696.0,903.0,40
