,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
43,channels in category causes on youtube,860,1,1.0,191.0,38
44,ask my vacuum to return to base,972,1,192.0,347.0,31
45,my google drive files created this week,678,1,348.0,543.0,39
46,go to fifty seconds,63,1,544.0,639.0,19
47,make my LG tv quieter,230,1,640.0,745.0,21
48,halt my oscillating kitchen fan,3,1,746.0,901.0,31
49,business insider news,440,2,1.0,134.0,21
50,washington post's wonkblog blog,709,2,135.0,323.0,32
51,add the album Parachutes to my playlist,951,2,324.0,547.0,39
52,news from the best university in the world,437,2,548.0,786.0,42
53,posts on facebook,485,2,787.0,900.0,17
54,get the climate state of my Tesla car,316,3,1.0,191.0,37
55,posts in the washington post politics blog,96,3,192.0,407.0,42
56,a plot from wolframalpha,164,3,408.0,533.0,24
57,stop my kitchen fan from oscillating,690,3,534.0,719.0,36
58,the key of song Rolling in the deep,263,3,720.0,900.0,35
59,on the bedroom switch,1133,4,1.0,134.0,21
60,math facts about seven,541,4,135.0,273.0,22
61,unmute my LG webos tv,1218,4,274.0,407.0,21
62,help me turn off my fan,328,4,408.0,551.0,23
63,a random animated gif,1066,4,552.0,685.0,21
64,the energy of level the current track,119,4,686.0,899.0,37
65,add the album Abbey Road to my playlist Sad songs,735,5,1.0,270.0,49
66,wall street journal articles,915,5,271.0,435.0,28
67,stop my bedroom fan from oscillating,343,5,436.0,640.0,36
68,close my damper,396,5,641.0,740.0,15
69,order me a black flat white,270,5,741.0,900.0,27
70,a plot from wolfram alpha,320,6,1.0,133.0,25
71,one Bitcoin in dollars,544,6,134.0,241.0,20
72,math facts about pi,420,6,242.0,344.0,19
73,record my weight on fitbit,522,6,345.0,482.0,26
74,my twitter direct messages,1168,6,483.0,620.0,26
75,lower the blinds,1007,6,621.0,708.0,16
76,my meeting schedule,939,6,709.0,811.0,19
77,the latest tweets,166,6,812.0,904.0,17
78,the first three instagram pictures on my account,60,7,1.0,275.0,48
79,recommended channels in youtube,480,7,276.0,465.0,31
80,set temperature on my thermostat to eighteen degrees,409,7,466.0,760.0,52
81,order me an iced latte,218,7,761.0,900.0,21
82,how dancey is the song Rolling in the deep,872,8,1.0,212.0,42
83,mute my LG webos tv,1201,8,213.0,309.0,19
84,articles in the washington post in section business,714,8,310.0,566.0,51
85,add the album to my playlist Favourite songs,254,8,567.0,788.0,44
86,articles on lifehacker,1074,8,789.0,900.0,22
87,weather tomorrow,145,9,1.0,92.0,16
88,my google drive files of type doc,167,9,93.0,269.0,33
89,my google drive files that were created most recently,585,9,270.0,546.0,53
90,alert me by flashing the kitchen lights,1173,9,547.0,753.0,39
91,flip my entrance switch off,769,9,754.0,900.0,27
