,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
729,tasks from Work list from the last three days from Wunderlist,1038,1,1.0,359.0,66
730,youtube's lifestyle channels,184,1,360.0,533.0,29
731,stop the entrance fan from turning,861,1,534.0,732.0,34
732,on Spotify play Jingle Bells,264,1,733.0,901.0,28
733,the key of Jingle Bells,564,2,1.0,141.0,23
734,turn the AC on,897,2,142.0,237.0,14
735,the instrumentalness of song Jingle Bells,1211,2,238.0,468.0,41
736,wall street journal articles in the technology section published in the last hour,115,2,469.0,899.0,81
737,play the album Abbey Road,1147,3,1.0,127.0,25
738,turn off my vacuum cleaner,817,3,128.0,259.0,26
739,I want to switch off the bedroom fan,220,3,260.0,441.0,36
740,the danceability of the song Rolling in the deep,890,3,442.0,683.0,48
741,increase the volume on my bluetooth speaker,938,3,684.0,900.0,43
742,off the vacuum,622,4,1.0,74.0,14
743,the state of the kitchen motion sensor,766,4,75.0,268.0,38
744,youtube's news and politics channels,56,4,269.0,457.0,37
745,the valence of this track,292,4,458.0,586.0,25
746,order me an iced flat white,567,4,587.0,720.0,26
747,get the temperature of my Tesla car,319,4,721.0,899.0,35
748,decrease the volume of my LG tv,1174,5,1.0,242.0,31
749,youtube's best of youtube channels,778,5,243.0,504.0,35
750,when a new paper is published in category Mathematics on arxiv,1287,5,505.0,901.0,62
751,tasks from Homework list from the last seven days from Wunderlist,888,6,1.0,358.0,70
752,weather tomorrow,145,6,359.0,446.0,16
753,value in usd of Bitcoin,1228,6,447.0,569.0,23
754,tasks from To do list from the last ten days from Wunderlist,1139,6,570.0,902.0,65
755,the new york times health section,301,7,1.0,176.0,33
756,turn off my Tesla car air-conditioner,870,7,177.0,372.0,37
757,channels in category film and entertainment on youtube,221,7,373.0,653.0,54
758,turn on the light,532,7,654.0,749.0,17
759,recommended youtube channels,796,7,750.0,900.0,28
760,set the temperature to twenty five degrees on my thermostat,157,8,1.0,298.0,59
761,washington post's post partisan blog,553,8,299.0,486.0,37
762,latest posts on an atom feed,253,8,487.0,629.0,28
763,can you switch on my fan,1140,8,630.0,752.0,24
764,play the last song on Spotify,672,8,753.0,900.0,29
765,my meeting schedule,939,9,1.0,105.0,19
766,fox pictures,834,9,106.0,175.0,12
767,instagram pictures i uploaded,914,9,176.0,330.0,29
768,add the album to my playlist Favourite songs,254,9,331.0,560.0,44
769,facts about three,418,9,561.0,655.0,17
770,move the bedroom fan,1181,9,656.0,765.0,20
771,youtube's music channels,1114,9,766.0,900.0,25
