,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
1553,add Despacito to Sad songs on Spotify,14,1,1.0,187.0,37
1554,channels in category paid on youtube,1067,1,188.0,369.0,36
1555,add  the currently playing song to my playlist Sad songs,916,1,370.0,651.0,56
1556,lower the entrance blinds,255,1,652.0,778.0,25
1557,post a picture on tumblr,658,1,779.0,900.0,24
1558,national washington post's articles,182,2,1.0,189.0,36
1559,how positive is Rolling in the deep,309,2,190.0,373.0,35
1560,a random animated gif,1066,2,374.0,487.0,21
1561,add Despacito to Dance mood,8,2,488.0,631.0,27
1562,add song Jingle Bells to my playlist Favourite songs,429,2,632.0,900.0,52
1563,automotive channels in youtube,1274,3,1.0,201.0,30
1564,tech youtube channels,378,3,202.0,357.0,21
1565,latest fortune news,823,3,358.0,503.0,19
1566,cooking youtube channels,1259,3,504.0,674.0,24
1567,play Rolling in the deep on Spotify,194,3,675.0,900.0,35
1568,set the temperature between eighteen degrees and twenty three degrees on my thermostat,1071,4,1.0,446.0,86
1569,flip my entrance switch off,769,4,447.0,597.0,27
1570,the arts section of the new york times,1295,4,598.0,803.0,38
1571,request an uber,1075,4,804.0,899.0,16
1572,add the album Parachutes to my playlist Dance mood,524,5,1.0,266.0,50
1573,articles in the washington post in section politics,629,5,267.0,537.0,51
1574,the loudness of Rolling in the deep,1224,5,538.0,728.0,35
1575,CS two nine four S class slides,820,5,729.0,899.0,31
1576,add song Rolling in the deep to Dance mood,235,6,1.0,212.0,42
1577,the acousticness of Rolling in the deep,1127,6,213.0,409.0,39
1578,put the damper up,887,6,410.0,496.0,17
1579,set volume on my speaker to fifty percents,721,6,497.0,673.0,35
1580,important emails,108,6,674.0,755.0,16
1581,play the next song on Spotify,313,6,756.0,902.0,29
1582,stop moving the fan,62,7,1.0,101.0,19
1583,flip my kitchen switch off,40,7,102.0,237.0,26
1584,add to playlist Dance mood,624,7,238.0,373.0,26
1585,play Adele,237,7,374.0,429.0,10
1586,create a new text file in onedrive,1078,7,430.0,605.0,34
1587,latest mashable news,348,7,606.0,711.0,20
1588,channels in category music on youtube,1053,7,712.0,902.0,37
1589,gamespot news,618,8,1.0,116.0,13
1590,instagram pictures i uploaded,914,8,117.0,312.0,29
1591,share a picture to the public Imgur gallery,837,8,313.0,578.0,43
1592,my starred google drive files,559,8,579.0,774.0,29
1593,news on fortune,1046,8,775.0,900.0,15
1594,wall street journal articles in the US business section,1230,9,1.0,289.0,55
1595,my three latest instagram pictures,111,9,290.0,473.0,34
1596,save this song,21,9,474.0,557.0,14
1597,decrease the volume of my LG tv,1174,9,558.0,726.0,31
1598,upload a public picture to Imgur,754,9,727.0,900.0,32
