,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
918,an interesting factoid about cat,758,1,1.0,171.0,32
919,a picture of a random dog,507,1,172.0,307.0,25
920,the space left on my dropbox,791,1,308.0,458.0,28
921,play the songs Rolling in the deep on Spotify,323,1,459.0,694.0,45
922,add the album Abbey Road to my playlist,1169,1,695.0,900.0,39
923,my contacts,445,2,1.0,72.0,11
924,new books published by stanford press,884,2,73.0,274.0,37
925,play Despacito on Spotify,1014,2,275.0,416.0,25
926,add song Despacito to my playlist Sad songs,798,2,417.0,648.0,43
927,keep my entrance curtains,628,2,649.0,790.0,25
928,turn the heating on,1091,2,791.0,902.0,19
929,wall street journal articles in the opinions section published in the last hour,1042,3,1.0,401.0,79
930,my google drive files larger than one gigabyte,708,3,402.0,637.0,46
931,upload a picture to Imgur,967,3,638.0,768.0,25
932,order me an iced macchiato,996,3,769.0,899.0,25
933,halt my oscillating entrance fan,530,4,1.0,194.0,32
934,latest mashable news,348,4,195.0,328.0,20
935,WSJ technology articles,1253,4,329.0,477.0,23
936,order me a drip coffee,1260,4,478.0,621.0,22
937,news on NBA basketball,355,4,622.0,765.0,22
938,today's asteroid info,964,4,766.0,904.0,21
939,the danceability of the song Jingle Bells,236,5,1.0,212.0,41
940,ABC news,566,5,213.0,259.0,8
941,add Despacito to Sad songs on Spotify,14,5,260.0,451.0,37
942,the blog the plum line of the washington post,772,5,452.0,683.0,45
943,add Jingle Bells to my playlist Sad songs,53,5,684.0,900.0,42
944,wall street journal articles,915,6,1.0,146.0,28
945,set my speaker softer,171,6,147.0,257.0,21
946,channels in category cooking on youtube,438,6,258.0,458.0,39
947,get the climate state of my Tesla car,316,6,459.0,649.0,37
948,the three latest instagram pictures on my account,487,6,650.0,900.0,49
949,the direct messages i received on twitter,780,7,1.0,212.0,41
950,youtube's sports channels,514,7,213.0,349.0,26
951,three dog pictures,1010,7,350.0,446.0,18
952,random trump quote,875,7,447.0,543.0,18
953,set my bluetooth speaker to eighty percents,35,7,544.0,730.0,36
954,the liveness of the current track,644,7,731.0,902.0,33
955,close my blinds,436,8,1.0,90.0,15
956,images from Imgur,839,8,91.0,190.0,17
957,add Despacito to Dance mood on Spotify,978,8,191.0,395.0,38
958,washington post's morning mix blog,1206,8,396.0,585.0,35
959,images from Imgur marked mature,763,8,586.0,755.0,31
960,turn off my vacuum cleaner,817,8,756.0,900.0,26
961,is this song acoustic,941,9,1.0,124.0,21
962,completed tasks from To do list from the last three days on Wunderlist,993,9,125.0,518.0,75
963,the tempo,663,9,519.0,582.0,9
964,honk the horn on my car,381,9,583.0,716.0,23
965,NY times,527,9,717.0,775.0,8
966,washington post world,1196,9,776.0,899.0,21
