,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
289,add song Despacito to my playlist Sad songs,798,1,1.0,318.0,43
290,piled higher and deeper comics,862,1,319.0,571.0,30
291,the blog post partisan of the washington post,615,1,572.0,899.0,45
292,wall street journal articles in the lifestyle section published in the last hour,433,2,1.0,429.0,80
293,the time signature,1261,2,430.0,548.0,18
294,mark me as away on slack,787,2,549.0,697.0,24
295,my onedrive files created this week,353,2,698.0,901.0,35
296,the new york times business section,639,3,1.0,188.0,35
297,add song Jingle Bells to my playlist Favourite songs,429,3,189.0,461.0,52
298,random trump quote,875,3,462.0,564.0,18
299,go back,662,3,565.0,612.0,7
300,set the temperature of my Tesla car to eighteen degrees,314,3,613.0,900.0,55
301,youtube's automotive channels,1194,4,1.0,162.0,30
302,world washington post's articles,1058,4,163.0,339.0,33
303,DIY youtube channels,466,4,340.0,451.0,20
304,a random dog fact,882,4,452.0,548.0,17
305,resume my Spotify,19,4,549.0,645.0,17
306,the speechiness of song Despacito,209,4,646.0,822.0,33
307,play an album,334,4,823.0,899.0,13
308,power off the bedroom fan,983,5,1.0,141.0,25
309,set the low temperature to twenty degrees on my thermostat and the high to twenty three degrees,835,5,142.0,632.0,95
310,a picture of a fox,283,5,633.0,738.0,18
311,my starred google drive files,559,5,739.0,899.0,29
312,get info on people I know,1234,6,1.0,171.0,25
313,my iCalendar events,1130,6,172.0,312.0,19
314,my contacts on google,641,6,313.0,463.0,21
315,order me a macchiato,434,6,464.0,609.0,20
316,posts in the washington post post everything blog,242,6,610.0,900.0,49
317,my instagram pictures that have the Clarendon filter,534,7,1.0,293.0,52
318,wall street journal articles in the US business section published in the last hour,427,7,294.0,736.0,82
319,turn the cooling system on,712,7,737.0,899.0,26
320,a random picture from giphy,2,8,1.0,154.0,27
321,washington post lifestyle,214,8,155.0,298.0,25
322,change my slack presence,447,8,299.0,437.0,24
323,Huffington posts,773,8,438.0,536.0,16
324,my google drive files created this week,678,8,537.0,750.0,39
325,the temperature in the room,741,8,751.0,904.0,27
326,add song Despacito to Dance mood,1172,9,1.0,161.0,32
327,create a playlist,384,9,162.0,247.0,17
328,CS two nine four S class materials,687,9,248.0,418.0,34
329,skip to ten seconds,1065,9,419.0,514.0,19
330,science channels in youtube,1060,9,515.0,650.0,27
331,reddit front page posts published in the last hour,193,9,651.0,901.0,50
