,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
0,turn off my switch,779,1,1.0,124.0,18
1,is Despacito instrumental,574,1,125.0,283.0,25
2,stop the kitchen fan from turning,603,1,284.0,482.0,33
3,add song Jingle Bells to my playlist Dance mood,1097,1,483.0,751.0,47
4,an XKCD comic at random,831,1,752.0,900.0,23
5,add Despacito to Favourite songs on Spotify,1031,2,1.0,241.0,43
6,the acousticness of Jingle Bells,701,2,242.0,427.0,32
7,set the volume of my LG tv to eighty,69,2,428.0,633.0,36
8,articles on how-to geek,1213,2,634.0,774.0,23
9,stop turning the fan,673,2,775.0,900.0,20
10,images from Imgur with more than hundred points,1269,3,1.0,254.0,47
11,automotive youtube channels,24,3,255.0,408.0,27
12,emails arrived in the last hour,93,3,409.0,582.0,31
13,make my vacuum stop cleaning,516,3,583.0,741.0,28
14,the BPM of the current track,257,3,742.0,900.0,28
15,beauty and fashion youtube channels,1055,4,1.0,216.0,35
16,switch off my switch,1208,4,217.0,357.0,20
17,facts about seven,1029,4,358.0,483.0,17
18,open the window,905,4,484.0,599.0,15
19,order me a caramel macchiato,74,4,600.0,780.0,28
20,my dropbox files,601,4,781.0,901.0,16
21,tasks from Work list from the last three days from Wunderlist,1038,5,1.0,360.0,66
22,play the songs Jingle Bells on Spotify,86,5,361.0,580.0,38
23,add Despacito to Dance mood,8,5,581.0,745.0,27
24,lower the entrance damper,1178,5,746.0,900.0,25
25,add to playlist Sad songs,1245,6,1.0,151.0,25
26,posts on matrix sixty seven blog,1267,6,152.0,337.0,32
27,when a new paper is published in category Mathematics on arxiv,1287,6,338.0,673.0,62
28,change the volume of my LG tv to hundred,347,6,674.0,899.0,40
29,how loud is this song,930,7,1.0,110.0,21
30,what song is currently playing,865,7,111.0,265.0,30
31,tasks from Homework list from the last three days from Wunderlist,1220,7,266.0,620.0,70
32,open my blinds,611,7,621.0,695.0,14
33,interesting facts about the number seven,217,7,696.0,900.0,40
34,the key of the current track,245,8,1.0,208.0,28
35,my files in dropbox,1000,8,209.0,371.0,19
36,from tv channels in youtube,931,8,372.0,574.0,27
37,articles in the washington post in section lifestyle,482,8,575.0,902.0,52
38,my instagram pictures that have the Normal filter applied,37,9,1.0,296.0,57
39,latest star wars news,65,9,297.0,412.0,21
40,order me an iced macchiato,996,9,413.0,548.0,25
41,send an email to somebody,997,9,549.0,684.0,25
42,add a song to my playlist Favourite songs,493,9,685.0,900.0,41
