,command_name,command_id,pos_id,start_fr_id,end_fr_id,num_chars
1364,user-submitted images in Imgur,568,1,1.0,167.0,30
1365,articles on lifehacker,1074,1,168.0,294.0,22
1366,NASA's APOD,385,1,295.0,371.0,12
1367,mathematical trivia about seven,1027,1,372.0,543.0,31
1368,facts about the year twenty nineteen,921,1,544.0,740.0,36
1369,a picture from NASA curiosity,597,1,741.0,902.0,29
1370,lower the entrance damper,1178,2,1.0,155.0,25
1371,my tasks on Wunderlist,439,2,156.0,295.0,22
1372,add Rolling in the deep to my playlist Dance mood,906,2,296.0,575.0,50
1373,my linkedin profile,676,2,576.0,700.0,19
1374,set volume on my speaker to zero percent,1119,2,701.0,900.0,34
1375,posts in the washington post the fix blog,760,3,1.0,217.0,41
1376,the time signature of song Despacito,840,3,218.0,409.0,36
1377,best of youtube channels in youtube,295,3,410.0,596.0,35
1378,order me a black espresso,168,3,597.0,733.0,25
1379,latest articles by ars technica,989,3,734.0,900.0,31
1380,my google drive files larger than one gigabyte,708,4,1.0,231.0,46
1381,make the bedroom fan turn,475,4,232.0,357.0,25
1382,my emails,1155,4,358.0,403.0,9
1383,latest papers in category Computer Science on arxiv,1250,4,404.0,659.0,51
1384,the new york times business section,639,4,660.0,835.0,35
1385,play an album,334,4,836.0,901.0,13
1386,add song Rolling in the deep to Favourite songs,1022,5,1.0,236.0,47
1387,a random factoid,455,5,237.0,317.0,16
1388,the energy of Despacito,430,5,318.0,433.0,23
1389,latest techcrunch news,1112,5,434.0,544.0,22
1390,my ten recent instagram pictures,1144,5,545.0,705.0,32
1391,channels in category cooking on youtube,438,5,706.0,901.0,39
1392,channels in category science on youtube,1187,6,1.0,214.0,39
1393,is Jingle Bells instrumental,1285,6,215.0,373.0,28
1394,change the temperature on my thermostat,271,6,374.0,587.0,39
1395,the instrumentalness of Jingle Bells,46,6,588.0,786.0,36
1396,random number facts,627,6,787.0,900.0,19
1397,raise the entrance shades,924,7,1.0,134.0,25
1398,articles on nature,540,7,135.0,233.0,18
1399,trump quotes,1039,7,234.0,302.0,12
1400,a dad joke,399,7,303.0,361.0,10
1401,upload a picture to Imgur and mark it mature,543,7,362.0,590.0,44
1402,increase volume on my speaker,92,7,591.0,744.0,29
1403,open my entrance shades for me,459,7,745.0,903.0,30
1404,film and entertainment youtube channels,1125,8,1.0,219.0,39
1405,add song Jingle Bells to my playlist Dance mood,1097,8,220.0,478.0,47
1406,articles on medium,591,8,479.0,592.0,18
1407,unmute my LG webos tv,1218,8,593.0,721.0,21
1408,halt my oscillating kitchen fan,3,8,722.0,900.0,31
1409,stop the entrance fan from turning,861,9,1.0,177.0,34
1410,keep my curtains,697,9,178.0,264.0,16
1411,the state of the kitchen motion sensor,766,9,265.0,461.0,38
1412,return my vacuum to base,13,9,462.0,588.0,24
1413,upload a private picture to Imgur,244,9,589.0,760.0,33
1414,how speechlike is Despacito,640,9,761.0,902.0,27
